,lat,lng,store_name
119,53.504135,-113.614748,"""Wolf Willow"""
120,53.559551,-113.553617,"""Safeway #8891 Westmount"
121,51.048739,-114.080881,"""Atrium 1 - 5th Ave &amp; 8th St"""
122,53.53903,-113.504387,"""Matrix Hotel"""
123,50.913241,-113.950365,"""52St &amp; McIvor Blvd SE"""
124,48.44235,-123.510958,"""Hull's Corner-Jacklin &amp; Langford"""
125,49.473985,-123.747567,"""Tsain-Ko Village Sechelt"""
126,52.288058,-113.814445,"""Red Deer Village"""
127,50.984507,-114.014588,"""Safeway #8826 Ogden"
128,51.073947,-113.984528,"""Sunridge Mall - Level 1"""
129,49.512177,-115.765227,"""Safeway #4974 Cranbrook"""
130,53.571339,-113.466776,"""Safeway #8866 Stadium"
131,44.250407,-76.567311,"""599 Taylor Kidd Blvd"""
132,53.537452,-113.501423,"""99th Ave &amp; 105 Street"""
133,49.264287,-123.013756,"""Tandem - Dawson &amp; Gilmore"""
134,50.114261,-122.955921,"""Crystal Lodge"""
135,49.26729,-123.112947,"""Montreux-2nd &amp; Yukon"""
136,50.006895,-110.664939,"""Trans Can Hwy &amp; 13th Ave SE"""
137,51.020747,-114.141998,"""Safeway #8990 Glamorgan"
138,49.283759,-122.810704,"""Eagle Ridge - Lansdowne &amp; Guildford"""
139,49.124019,-123.180856,"""Steveston - No. 1 &amp; Bayview"""
140,43.641282,-79.414767,"""King &amp; Shaw"""
141,48.401994,-89.24117,"""949 Fort William Road"""
142,49.114757,-122.670708,"""Safeway #4918 200th"
143,53.69333,-113.21265,"""Safeway #8894 Fort Saskatchewan"""
144,50.671719,-120.334138,"""Columbia St &amp; 3rd Ave - Kamloops"""
145,51.048211,-114.063566,"""Suncor main floor"""
146,49.232065,-123.119712,"""Safeway #4940 Oakridge"
147,43.476361,-80.525197,"""247 King St N"""
148,49.139627,-121.963179,"""Safeway #4968 Sardis"
149,53.534326,-113.617921,"""Safeway #8880 Tera Losa"
150,53.910924,-122.782935,"""West Central &amp; 15th Avenue - PG"""
151,43.580256,-79.711998,"""242 Queen St S"""
152,43.817106,-79.4243,"""7787 Yonge St"""
153,49.865247,-99.961274,"""Corral Centre"""
154,49.823524,-97.083645,"""Southglen"""
155,52.117949,-106.656389,"""Broadway Ave &amp; 10 Street E"""
156,49.895743,-119.413248,"""Hwy 97 at Leathead-Kelowna"""
157,53.4556,-113.515469,"""23 Ave &amp; 111 St"""
158,44.231474,-76.492635,"""121 Division Street"""
159,52.958794,-113.390049,"""Safeway #8899 Wetaskiwin"""
160,49.149475,-123.182312,"""Safeway #4967 Seafair"
161,55.7485,-120.221951,"""Safeway #4972 Dawson Creek"""
162,43.643841,-79.612973,"""Compass @ Bell"""
163,43.483057,-79.696175,"""1011 Upper Middle Rd E"""
164,49.882308,-97.205334,"""Safeway-Winnipeg #359"""
165,53.5269,-113.523725,"""University of Alberta - Cameron Lib"""
166,44.005733,-79.446123,"""Longos Aurora"""
167,51.041243,-114.208948,"""Safeway #8903 Aspen"
168,43.077276,-79.082792,"""Marriott Gateway"""
169,49.882721,-119.431989,"""Safeway #4902 Dilworth"
170,43.732642,-79.419222,"""Avenue &amp; Roe"""
171,43.822606,-79.350591,"""7333 Woodbine Ave"""
172,43.219535,-79.725717,"""369 - 377 Highway 8"""
173,51.295521,-114.01357,"""Safeway #8830 Airdrie"""
174,50.717033,-113.980337,"""Safeway #8917 Okotoks"""
175,53.48606,-113.52275,"""Safeway #8904"
176,50.972316,-114.098331,"""Safeway #8842 Glenmore Landing"
177,53.542333,-113.911033,"""Safeway #8897 Spruce Grove"""
178,49.163661,-122.800641,"""Safeway #4920 Fleetwood"
179,49.046672,-122.796682,"""Safeway #4914 Surrey"""
180,49.245158,-123.124849,"""BC Childrens Hospital"""
181,49.334121,-123.179904,"""Dundarave Village Mews"""
182,50.94053,-114.119209,"""Safeway #8827 Woodbine"
183,49.495793,-119.615237,"""Hwy 97 &amp; Riverside Dr - Penticton"""
184,49.25792,-123.168211,"""16th &amp; MacDonald St"""
185,43.659944,-79.725689,"""Longos Brampton"""
186,43.329457,-79.819617,"""Longos Fairview"""
187,53.565808,-113.520879,"""Kingsway Ave &amp; 117St"""
188,49.061253,-122.812352,"""Alder Crossing - 148th &amp; KGH"""
189,49.265568,-123.138167,"""Portico - Granville St &amp; 7th Ave"""
190,49.050269,-122.800865,"""Tribeca - 152nd &amp; KGB"""
191,43.64658,-79.51404,"""Bloor &amp; Thompson"""
192,51.185218,-114.476189,"""Safeway #8914 Cochrane"""
193,56.238095,-120.847267,"""Safeway #4973 Fort St. John"""
194,43.639623,-79.537513,"""Six Points Plaza-5230 Dundas St W"""
195,49.10642,-122.662602,"""Valley Centre"""
196,49.234456,-123.160569,"""41st Ave &amp; Balsam St"""
197,52.130992,-106.722122,"""Safeway-Saskatoon #314"""
198,51.064532,-114.09903,"""Safeway #8913 North Hill"
199,53.541156,-113.978925,"""Safeway #8885 Stony Plain"""
200,51.02276,-114.116391,"""Safeway #8912 Garrison Woods"
201,55.156178,-118.794934,"""Safeway #8888 Southview"
202,49.879075,-97.147191,"""Osborne Village"""
203,43.083867,-79.079999,"""Skylon Tower Base"""
204,49.008045,-123.130408,"""Tsawwassen Ferry Terminal"""
205,49.372482,-123.098652,"""Grouse Mountain Resort Vancouver"""
206,50.669517,-120.352364,"""Safeway #4933 Kamloops"""
207,50.698602,-120.359148,"""Safeway #4916 North Shore"
208,49.271035,-123.087737,"""Terminal &amp; Begg"""
209,44.503381,-80.311607,"""Blue Mountain Village"""
210,49.102425,-122.64456,"""Safeway #4912 Fraser"
211,49.265947,-122.775313,"""Safeway #4936 Port Coquitlam"""
212,49.691998,-112.893388,"""Safeway #8920 West"
213,49.261118,-123.115639,"""City Square Mall"""
214,50.983623,-114.041234,"""Deerfoot Meadows"""
215,43.405495,-79.808096,"""2500 Appleby Line"""
216,53.017984,-112.859116,"""Safeway #8883 Camrose"""
217,48.451478,-89.253763,"""Safeway - Thunder Bay #682"""
218,48.381748,-89.279421,"""Safeway - Thunder Bay #681"""
219,48.433478,-89.224911,"""Safeway - Thunder Bay #664"""
220,49.263832,-122.766814,"""Oxford &amp; Lougheed"""
221,49.076208,-122.668946,"""Brookswood Village-200th &amp; 40th"""
222,51.101777,-114.072602,"""Safeway #8918 Thorncliffe"
223,51.081049,-113.984241,"""London Towne Square"""
224,44.614622,-75.683841,"""1981 Parkdale Ave. Unit D"""
225,43.374232,-80.318182,"""1 Hespeler Rd"""
226,49.31678,-122.969128,"""Safeway #4958 Parkgate Village"
227,53.277536,-110.056737,"""Highway 16 &amp; 75 Street"""
228,43.705541,-79.39786,"""Yonge &amp; Eglinton- Minto Tower"""
229,43.844416,-79.560074,"""3737 Major Mackenzie Dr"""
230,43.71068,-79.360969,"""Laird &amp; Wicksteed"""
231,45.275131,-75.718766,"""3302 Woodroffe Avenue"""
232,49.858348,-97.263822,"""Safeway-Winnipeg #726"""
233,51.126903,-114.072233,"""Safeway #8849 Beddington"
234,53.454904,-113.510313,"""Safeway #8921 Heritage"
235,53.525349,-113.61627,"""170th St &amp; 90th Ave NW"""
236,49.318603,-124.300724,"""Island Hwy &amp; Mills Rd"""
237,45.457404,-75.497574,"""4240 Innes Road"""
238,48.64813,-123.402421,"""Save-on-Foods - Sidney"""
239,43.639472,-79.417065,"""Metro Liberty Village - #720"""
240,54.823265,-127.190362,"""Safeway #4952 Smithers"""
241,53.511379,-113.675787,"""The Grange"""
242,49.12474,-122.70286,"""Clayton Crossing"""
243,49.829017,-97.108905,"""St. Vital Centre"""
244,48.446958,-123.372311,"""3180 Douglas St - Victoria"""
245,43.871878,-78.908225,"""25 Consumers Dr"""
246,53.47397,-113.492763,"""South Park"""
247,49.191262,-123.129371,"""Bridgeport &amp; No 3 Road"""
